Gal,logP,mW,sig_mW,Fe/H,z,V-I
M101,1.2540644529143379,22.099439999999998,0.3,0.3100000000000005,0.0008,0.96
M101,0.72900270927219,24.00084,0.57,0.2940000000000005,0.0008,1.06
M101,1.0740846890282438,22.526980000000002,0.32,0.2889999999999997,0.0008,1.07
M101,1.17376882313665,22.59382,0.32,0.2810000000000006,0.0008,1.13
M101,1.0740846890282438,22.76944,0.45,0.3119999999999994,0.0008,0.96
M101,0.8899736384039961,23.40014,0.42,0.2889999999999997,0.0008,1.01
M101,1.4077307280263354,22.30996,0.19,0.32399999999999984,0.0008,1.14
M101,0.9123814989188004,23.42558,0.42,0.3000000000000007,0.0008,0.97
M101,0.8431704645198979,23.51962,0.43,0.3049999999999997,0.0008,0.83
M101,1.159266331093494,23.481360000000002,0.37,0.3260000000000005,0.0008,1.24
M101,1.2407987711173312,22.052599999999998,0.34,0.32399999999999984,0.0008,0.9
M101,1.1209028176145273,23.096799999999998,0.43,0.3249999999999993,0.0008,1.2
M101,1.0666985504229953,22.83558,0.25,0.25099999999999945,0.0008,0.97
M101,0.966986025117938,23.306459999999998,0.47,0.32099999999999973,0.0008,0.89
M101,1.3326404103874625,21.74804,0.24,0.30799999999999983,0.0008,0.86
M101,1.1829849670035817,22.07856,0.37,0.3279999999999994,0.0008,1.04
M101,1.2000292665537702,22.0668,0.31,0.3119999999999994,0.0008,1.2
M101,1.2357808703275603,22.47014,0.32,0.3160000000000007,0.0008,1.01
M101,1.06707085604537,23.122419999999998,0.19,0.24799999999999933,0.0008,1.03
M101,1.244771761495295,22.629260000000002,0.25,0.3019999999999996,0.0008,1.09
M101,1.1139433523068367,22.932419999999997,0.41,0.3160000000000007,0.0008,1.03
M101,1.0629578340845103,22.85874,0.33,0.2789999999999999,0.0008,0.91
M101,1.146128035678238,23.006980000000002,0.33,0.3119999999999994,0.0008,1.07
M101,1.126780577012009,22.83242,0.26,0.30799999999999983,0.0008,1.03
M101,1.4877038631637263,21.6903,0.19,0.3030000000000008,0.0008,1.45
M101,1.2065560440990295,22.3568,0.31,0.3049999999999997,0.0008,1.2
M101,1.2873537727147466,22.169439999999998,0.25,0.3490000000000002,0.0008,0.96
M101,1.0867156639448825,22.72926,0.34,0.29499999999999993,0.0008,1.09
M101,0.8791532461842462,23.57804,0.5,0.2989999999999995,0.0008,0.86
M101,1.1205739312058498,22.600640000000002,0.42,0.2900000000000009,0.0008,1.76
M101,1.0704073217401198,23.063299999999998,0.36,0.3420000000000005,0.0008,0.95
M101,1.055378331375,23.13488,0.44,0.33500000000000085,0.0008,0.92
M101,1.0203612826477078,22.322419999999997,0.38,0.33500000000000085,0.0008,1.03
M101,1.316808752053022,22.44784,0.22,0.33000000000000007,0.0008,1.56
M101,1.388278863459639,21.75574,0.23,0.3309999999999995,0.0008,1.41
M101,1.245018870737753,22.82996,0.31,0.3409999999999993,0.0008,1.14
M101,1.0989896394011773,22.66768,0.43,0.34500000000000064,0.0008,1.12
M101,1.2920344359947364,22.32102,0.26,0.2970000000000006,0.0008,0.93
M101,0.7536596472859987,24.01172,0.48,0.26399999999999935,0.0008,0.98
M101,1.529173603261723,21.08504,0.19,0.3230000000000004,0.0008,1.36
M101,1.0748164406451748,22.624000000000002,0.46,0.33399999999999963,0.0008,1.0
M101,1.2372923375674587,22.71084,0.27,0.3049999999999997,0.0008,1.06
M101,1.276461804173244,21.66102,0.31,0.28500000000000014,0.0008,0.93
M101,1.000867721531227,22.89856,0.41,0.3260000000000005,0.0008,1.04
M101,1.3688445068258213,21.9261,0.25,0.3409999999999993,0.0008,1.15
M101,1.1789769472931695,22.3875,0.36,0.33699999999999974,0.0008,1.25
M101,1.2322335211147337,22.44802,0.31,0.34999999999999964,0.0008,1.43
M101,1.110589710299249,21.98944,0.46,0.34699999999999953,0.0008,0.96
M101,1.1132746924643504,22.12488,0.44,0.3390000000000004,0.0008,0.92
M101,1.395850376018781,22.08768,0.21,0.3100000000000005,0.0008,1.12
M101,1.1931245983544616,22.97382,0.38,0.3230000000000004,0.0008,1.13
M101,0.9621798529087678,23.674699999999998,0.41,0.2870000000000008,0.0008,1.05
M101,1.3342526423342307,22.142919999999997,0.26,0.34500000000000064,0.0008,1.78
M101,0.9988258190402861,23.28488,0.41,0.31400000000000006,0.0008,0.92
M101,1.4409090820652177,21.646079999999998,0.21,0.34699999999999953,0.0008,1.72
M101,1.436162647040756,21.795399999999997,0.22,0.34500000000000064,0.0008,1.1
M101,1.5385737338068557,21.83522,0.21,0.2940000000000005,0.0008,1.23
M101,1.5182506513085,21.54172,0.2,0.3000000000000007,0.0008,0.98
M101,1.070037866607755,23.06312,0.33,0.3070000000000004,0.0008,1.08
M101,1.0606978403536116,22.874180000000003,0.43,0.3160000000000007,0.0008,0.87
M101,1.0603200286882852,22.1861,0.58,0.3089999999999993,0.0008,1.15
M101,1.3821972103774536,22.13294,0.23,0.35299999999999976,0.0008,1.21
M101,1.209515014542631,23.09522,0.32,0.2889999999999997,0.0008,1.23
M101,1.2990712600274095,21.93786,0.26,0.35599999999999987,0.0008,0.99
M101,1.378216149749878,21.68382,0.23,0.35999999999999943,0.0008,1.13
M101,1.3147096929551738,22.19786,0.23,0.3249999999999993,0.0008,0.99
M101,1.424881636631067,21.6668,0.23,0.36299999999999955,0.0008,1.2
M101,1.2008504980910775,22.80312,0.31,0.3290000000000006,0.0008,1.08
M101,1.2973227142053025,22.15768,0.27,0.3330000000000002,0.0008,1.12
M101,1.511749711344983,21.656100000000002,0.22,0.33800000000000097,0.0008,1.15
M101,1.1758016328482794,22.624000000000002,0.35,0.3460000000000001,0.0008,1.0
M101,1.4144719496293028,21.69032,0.27,0.34699999999999953,0.0008,0.88
M101,1.0599418880619547,23.29294,0.35,0.3360000000000003,0.0008,1.21
M101,1.276461804173244,22.64312,0.37,0.35999999999999943,0.0008,1.08
M101,1.0842186867392387,22.71224,0.42,0.32099999999999973,0.0008,1.16
M101,1.1610683854711745,22.71558,0.36,0.29300000000000104,0.0008,0.97
M101,1.0068937079479006,22.97786,0.48,0.3000000000000007,0.0008,0.99
M101,1.3729120029701065,21.549599999999998,0.21,0.35599999999999987,0.0008,1.4
M101,1.1908917169221696,22.66978,0.29,0.30600000000000094,0.0008,1.27
M101,1.189770956346874,22.01242,0.26,0.3309999999999995,0.0008,1.03
M101,1.3047058982127655,22.37944,0.2,0.33000000000000007,0.0008,0.96
M101,1.2571984261393445,22.31312,0.29,0.3360000000000003,0.0008,1.08
M101,1.3346547668832414,21.92766,0.25,0.32399999999999984,0.0008,1.69
M101,1.417803722639881,22.215220000000002,0.25,0.3849999999999998,0.0008,1.23
M101,1.2511513431753545,22.1661,0.33,0.3879999999999999,0.0008,1.15
M101,1.2857822737793947,22.2726,0.28,0.3279999999999994,0.0008,0.9
M101,1.2833012287035497,22.161360000000002,0.26,0.3330000000000002,0.0008,1.24
M101,1.1661339703051092,23.01626,0.33,0.31400000000000006,0.0008,1.59
M101,1.507855871695831,21.638540000000003,0.2,0.3780000000000001,0.0008,1.61
M101,0.7041505168397991,23.861900000000002,0.35,0.2530000000000001,0.0008,0.85
M101,1.3197304943302246,22.33996,0.3,0.33800000000000097,0.0008,1.14
M101,1.2891428359323331,21.996280000000002,0.36,0.370000000000001,0.0008,1.02
M101,1.3261309567107946,21.93014,0.16,0.24900000000000055,0.0008,1.01
M101,1.2008504980910775,23.08716,0.42,0.386000000000001,0.0008,0.94
M101,1.3571722577230336,21.94628,0.24,0.36400000000000077,0.0008,1.02
M101,1.0111473607757975,23.894000000000002,0.46,0.3049999999999997,0.0008,1.0
M101,0.8619523749214517,23.309260000000002,0.51,0.34500000000000064,0.0008,1.09
M101,1.2533380053261065,22.114,0.23,0.33500000000000085,0.0008,1.0
M101,1.378216149749878,21.8047,0.3,0.38400000000000034,0.0008,1.05
