Gal,logP,mW,sig_mW,Fe/H,z,V-I,pi,sig_pi
MW,0.5929563433955554,7.239755,0.062436865,0.15,0,,0.442947,0.010148
MW,0.640037971870934,7.77453466,0.062436865,0.09,0,,0.335703,0.010634
MW,0.687994218522802,7.6083346,0.056882918,0.02,0,,0.322512,0.010674
MW,0.7214165223002114,5.6812131,0.062436865,0.19,0,,0.731787,0.011574
MW,0.7306748996312707,6.16518218,0.056882918,0.09,0,,0.585257,0.012235
MW,0.7398831216285175,4.24914108,0.056882918,0.04,0,,1.336575,0.009765
MW,0.7712007793328947,7.64265332,0.056882918,0.12,0,,0.281177,0.010598
MW,0.7937966686491136,5.71723982,0.062436865,0.15,0,,0.639288,0.010113
MW,0.8006882159811904,4.83210826,0.056906387,0.07,0,,0.879557,0.01026
MW,0.8289965053657609,3.63651172,0.056882918,0.08,0,,1.554007,0.009834
MW,0.878916904120901,5.58882196,0.056882918,0.11,0,,0.609662,0.010549
MW,0.9031263033495363,5.5929981,0.056882918,-0.01,0,,0.55651,0.010348
MW,0.9800001882617412,5.7425317,0.056882918,-0.18,0,,0.496995,0.010386
MW,0.9891876489512249,3.90476368,0.056882918,0.02,0,,1.073264,0.01055
MW,1.0328676635281182,5.86489124,0.056882918,0.27,0,,0.420223,0.010825
MW,1.0526477788535227,5.28509642,0.056882918,0.07,0,,0.51345,0.010184
MW,1.6531449516009644,3.5264011,0.054006375,0.05,0,,0.424806,0.011677
