Gal,logP,mW,sig_mW,Fe/H,z,V-I,mu,sig_mu
N4258,1.1705550585212086,22.3368,0.23,-0.036999999999999034,0.00149,1.2,29.397,0.032
N4258,1.3001605369513523,21.839599999999997,0.27,0.002000000000000668,0.00149,1.4,29.397,0.032
N4258,1.7851874200293618,21.029420000000002,0.17,-0.038000000000000256,0.00149,1.53,29.397,0.032
N4258,1.428620672671939,22.610480000000003,0.23,0.0389999999999997,0.00149,1.32,29.397,0.032
N4258,1.4899584794248346,22.096619999999998,0.18,0.04300000000000104,0.00149,1.33,29.397,0.032
N4258,1.7595923086459748,20.65504,0.2,0.058999999999999275,0.00149,1.36,29.397,0.032
N4258,1.2268575702887234,22.2589,0.27,-0.019999999999999574,0.00149,1.35,29.397,0.032
N4258,1.4940153747571439,21.96978,0.18,-0.04800000000000004,0.00149,1.27,29.397,0.032
N4258,1.327563260187278,21.96732,0.19,-0.0519999999999996,0.00149,1.38,29.397,0.032
N4258,0.7892986111594411,24.37312,0.43,-0.07499999999999929,0.00149,1.08,29.397,0.032
N4258,0.8620120512502166,24.32032,0.31,-0.06899999999999906,0.00149,0.88,29.397,0.032
N4258,0.9340942683554804,23.29488,0.28,-0.08300000000000018,0.00149,0.92,29.397,0.032
N4258,0.9639766099966058,23.66172,0.26,-0.06899999999999906,0.00149,0.98,29.397,0.032
N4258,0.9919787909945836,23.55908,0.29,-0.07399999999999984,0.00149,1.22,29.397,0.032
N4258,1.2629254693318317,22.824,0.19,-0.08900000000000041,0.00149,1.0,29.397,0.032
N4258,1.3756636139608853,21.936619999999998,0.17,-0.06899999999999906,0.00149,1.33,29.397,0.032
N4258,1.5092025223311027,21.72206,0.18,-0.10599999999999987,0.00149,1.29,29.397,0.032
N4258,1.641275757231913,21.251360000000002,0.15,-0.054999999999999716,0.00149,1.24,29.397,0.032
N4258,1.6585837154070628,21.14224,0.17,-0.08000000000000007,0.00149,1.16,29.397,0.032
N4258,1.9204364065507586,20.5561,0.17,-0.08099999999999952,0.00149,1.15,29.397,0.032
N4258,1.08278537031645,22.82662,0.23,-0.0129999999999999,0.00149,1.33,29.397,0.032
N4258,1.5923988461155638,21.61452,0.18,-0.04499999999999993,0.00149,1.18,29.397,0.032
N4258,0.8323811602470409,23.51962,0.48,0.051000000000000156,0.00149,0.83,29.397,0.032
N4258,0.8605775512444155,23.764519999999997,0.49,0.07699999999999996,0.00149,1.18,29.397,0.032
N4258,1.1020905255118367,22.5347,0.59,0.06799999999999962,0.00149,1.05,29.397,0.032
N4258,1.3588862044058692,22.0317,0.24,-0.010999999999999233,0.00149,1.55,29.397,0.032
N4258,1.0425755124401905,23.570999999999998,0.3,-0.0039999999999995595,0.00149,1.5,29.397,0.032
N4258,1.2521245525056444,22.531360000000003,0.27,0.028999999999999915,0.00149,1.24,29.397,0.032
N4258,1.5814945422908993,21.31714,0.19,-0.009000000000000341,0.00149,1.51,29.397,0.032
N4258,0.7978904830583489,23.57628,0.59,0.0860000000000003,0.00149,1.02,29.397,0.032
