Name,Period,mh,mh_error,Parallax,Parallax_error,FE/H,FE/H_Eerr
CM_Sct,3.917025,7.239755,0.062436865,0.442947,0.010148,0.15,0.06
CG_Cas,4.36554,7.77453466,0.062436865,0.335703,0.010634,0.09,0.06
CF_Cas,4.87522,7.6083346,0.056882918,0.322512,0.010674,0.02,0.06
VW_Cru,5.26522,5.6812131,0.062436865,0.731787,0.011574,0.19,0.06
CV_Mon,5.37867,6.16518218,0.056882918,0.585257,0.012235,0.09,0.09
V_Cen,5.49393,4.24914108,0.056882918,1.336575,0.009765,0.04,0.09
CS_Vel,5.90474,7.64265332,0.056882918,0.281177,0.010598,0.12,0.06
X_Cru,6.22009,5.71723982,0.062436865,0.639288,0.010113,0.15,0.06
X_Vul,6.31958,4.83210826,0.056906387,0.879557,0.01026,0.07,0.08
U_Sgr,6.745226,3.63651172,0.056882918,1.554007,0.009834,0.08,0.08
RS_Ori,7.566881,5.58882196,0.056882918,0.609662,0.010549,0.11,0.09
DL_Cas,8.000669,5.5929981,0.056882918,0.55651,0.010348,-0.01,0.08
SX_Vel,9.54993,5.7425317,0.056882918,0.496995,0.010386,-0.18,0.15
S_Nor,9.75411,3.90476368,0.056882918,1.073264,0.01055,0.02,0.09
TW_Nor,10.78618,5.86489124,0.056882918,0.420223,0.010825,0.27,0.1
V0340_Nor,11.2888,5.28509642,0.056882918,0.51345,0.010184,0.07,0.07
SV_Vul,44.993,3.5264011,0.054006375,0.424806,0.011677,0.05,0.08
