name,mB,sig_mB,z,sig_z
03D1au,22.93445,0.12605,0.50349,0.0
03D1ax,22.8802,0.11765,0.4952,0.0
03D1co,24.0377,0.2056,0.6782,0.0
03D1ew,24.34685,0.17385,0.8672,0.0
03D1fq,24.3605,0.17435,0.7992,0.0
03D3ay,22.28785,0.1245,0.37129,0.0
03D3bl,22.05915,0.12645,0.35568,0.0
03D4ag,21.40915,0.1028,0.28391,0.0
03D4au,23.21635,0.1587,0.46691,0.0
03D4cx,24.41155,0.1642,0.94791,0.0
03D4cz,23.79645,0.24445,0.69391,0.0
03D4di,24.40275,0.16645,0.89791,0.0
03D4fd,24.2188,0.11585,0.78991,0.0
03D4gg,23.3354,0.1666,0.59091,0.0
04D1dc,20.64495,0.10525,0.2102,0.0
04D1ff,24.1237,0.1478,0.8592,0.0
04D1hx,23.1648,0.1335,0.5592,0.0
04D1iv,24.69965,0.1408,0.9972,0.0
04D1jg,23.34385,0.1258,0.5834,0.0
04D1ks,23.85445,0.1588,0.7972,0.0
04D1ow,24.37895,0.13735,0.9142,0.0
04D1pd,24.66675,0.15105,0.94921,0.0
04D1pp,23.8481,0.15575,0.7342,0.0
04D1qd,24.10805,0.1549,0.7662,0.0
04D1rx,24.828,0.153,0.9842,0.0
04D1si,23.7492,0.1738,0.7012,0.0
04D2al,24.1545,0.1807,0.83716,0.0
04D2cf,22.1401,0.1211,0.37016,0.0
04D2fs,21.95965,0.1186,0.35816,0.0
04D2gc,23.15915,0.14165,0.52216,0.0
04D2iu,23.7115,0.26255,0.70116,0.0
04D2kr,23.8056,0.16465,0.74526,0.0
04D2mh,23.2429,0.12625,0.59116,0.0
04D3co,23.5114,0.1131,0.62039,0.0
04D3dd,25.0798,0.19135,1.0024,0.0
04D3do,23.47615,0.1329,0.6104,0.0
04D3fk,21.9694,0.11425,0.35819,0.0
04D3gt,22.4159,0.12515,0.45138,0.0
04D3hn,22.98515,0.13425,0.55239,0.0
04D3ks,23.763,0.19155,0.75039,0.0
04D3lu,24.3356,0.14625,0.82238,0.0
04D3ml,24.68515,0.14485,0.95039,0.0
04D3nh,21.9463,0.10555,0.34039,0.0
04D3ny,24.0795,0.17055,0.8104,0.0
04D4an,23.7392,0.1593,0.61191,0.0
04D4bq,22.8926,0.1438,0.54891,0.0
04D4dw,24.7289,0.16015,1.02991,0.0
04D4gg,22.35675,0.1192,0.42291,0.0
04D4hu,23.90875,0.1805,0.70191,0.0
04D4ic,23.844,0.2326,0.68591,0.0
04D4ih,24.54795,0.15235,0.93291,0.0
04D4im,23.81055,0.18275,0.74991,0.0
04D4jr,22.73255,0.11785,0.46891,0.0
04D4jw,24.80665,0.17245,0.95991,0.0
05D1az,24.22255,0.1456,0.8412,0.0
05D1cc,23.2428,0.11755,0.5632,0.0
05D1cl,24.39785,0.1526,0.8292,0.0
05D1dx,23.22495,0.12065,0.57921,0.0
05D1em,24.3693,0.14625,0.8652,0.0
05D1er,24.4442,0.16535,0.8592,0.0
05D1hm,23.5694,0.1417,0.58621,0.0
05D1ix,22.8653,0.1136,0.4892,0.0
05D1ke,23.6132,0.1518,0.68921,0.0
05D2ab,21.79365,0.10225,0.32416,0.0
05D2ah,20.4558,0.10405,0.18516,0.0
05D2bt,23.59755,0.1484,0.68116,0.0
05D2bw,24.355,0.1708,0.92116,0.0
05D2cb,22.751,0.1294,0.42816,0.0
05D2ck,23.95255,0.2153,0.69916,0.0
05D2dt,23.38495,0.13845,0.57516,0.0
05D2dy,23.11305,0.1165,0.51116,0.0
05D2ec,23.62155,0.1659,0.64116,0.0
05D2hc,22.2272,0.1136,0.35116,0.0
05D2ie,22.14445,0.11065,0.34916,0.0
05D2mp,22.23665,0.113,0.35486,0.0
05D2nn,24.3402,0.1332,0.87116,0.0
05D2ob,24.7687,0.10935,0.92516,0.0
05D3cf,22.59095,0.12095,0.4194,0.0
05D3cq,24.1804,0.14085,0.89038,0.0
05D3dd,22.7752,0.1151,0.48038,0.0
05D3gp,23.36785,0.1608,0.58038,0.0
05D3ha,24.09575,0.1555,0.80538,0.0
05D3hs,23.6337,0.1611,0.66438,0.0
05D3jb,24.00735,0.1527,0.74538,0.0
05D3jk,23.77845,0.1399,0.7364,0.0
05D3jr,22.04575,0.11295,0.37039,0.0
05D3kp,24.31865,0.1304,0.85039,0.0
